[ 11/03/2020 21:10:57 ] OutputFile::OpenFile, Unexpected Failure. Cannot open file for writing - ../temp/undefined-sheet.pdf
[ 11/03/2020 21:27:32 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:28:55 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:28:55 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:28:55 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 103 was not registered as written. probably means it was not written
[ 11/03/2020 21:28:55 ] PDFWriter::EndPDF, Could not end PDF
[ 11/03/2020 21:29:30 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:29:30 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:29:30 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 103 was not registered as written. probably means it was not written
[ 11/03/2020 21:29:30 ] PDFWriter::EndPDF, Could not end PDF
[ 11/03/2020 21:31:11 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:11 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:11 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 103 was not registered as written. probably means it was not written
[ 11/03/2020 21:31:11 ] PDFWriter::EndPDF, Could not end PDF
[ 11/03/2020 21:31:28 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:28 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:28 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 103 was not registered as written. probably means it was not written
[ 11/03/2020 21:31:28 ] PDFWriter::EndPDF, Could not end PDF
[ 11/03/2020 21:31:44 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:44 ] InputFile::OpenFile, Unexpected Failure. Cannot open file for reading - C:\dev\uw-character-gen\backend\utils/../assets/classIcon.png
[ 11/03/2020 21:31:44 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 103 was not registered as written. probably means it was not written
[ 11/03/2020 21:31:44 ] PDFWriter::EndPDF, Could not end PDF
[ 11/03/2020 21:34:15 ] OutputFile::OpenFile, Unexpected Failure. Cannot open file for writing - C:\dev\uw-character-gen\backend\utils/../temp/Kian-sheet.pdf
[ 11/03/2020 21:42:35 ] OutputFile::OpenFile, Unexpected Failure. Cannot open file for writing - C:\dev\uw-character-gen\backend\utils/../temp/Kian-sheet.pdf
[ 12/03/2020 19:20:37 ] OutputFile::OpenFile, Unexpected Failure. Cannot open file for writing - C:\dev\uw-character-gen\backend\utils/../temp/Kian-sheet.pdf
[ 12/03/2020 19:20:41 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 118 was not registered as written. probably means it was not written
[ 12/03/2020 19:20:41 ] PDFWriter::EndPDF, Could not end PDF
[ 12/03/2020 19:20:55 ] ObjectsContext::WriteXrefStream, Unexpected Failure. Object of ID = 118 was not registered as written. probably means it was not written
[ 12/03/2020 19:20:55 ] PDFWriter::EndPDF, Could not end PDF
